07:24:58.912 [ATL-Logging-Thread] INFO  - Organising filesystem
07:34:26.806 [ATL-Logging-Thread] ERROR - 	at java.base/java.net.Socket.connect(Socket.java:760)

07:34:26.807 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.platform.Platform.connectSocket(Platform.kt:128)

07:34:26.807 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealConnection.connectSocket(RealConnection.kt:295)

07:34:26.808 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealConnection.connect(RealConnection.kt:207)

07:34:26.810 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.ExchangeFinder.findConnection(ExchangeFinder.kt:226)

07:34:26.811 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.ExchangeFinder.findHealthyConnection(ExchangeFinder.kt:106)

07:34:26.813 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.ExchangeFinder.find(ExchangeFinder.kt:74)

07:34:26.814 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealCall.initExchange$okhttp(RealCall.kt:255)

07:34:26.815 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:32)

07:34:26.816 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.819 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.cache.CacheInterceptor.intercept(CacheInterceptor.kt:95)

07:34:26.819 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.823 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.BridgeInterceptor.intercept(BridgeInterceptor.kt:83)

07:34:26.824 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.825 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RetryAndFollowUpInterceptor.intercept(RetryAndFollowUpInterceptor.kt:76)

07:34:26.826 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.828 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.DebugLoggingInterceptor.intercept(DebugLoggingInterceptor.java:46)

07:34:26.829 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.830 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealCall.getResponseWithInterceptorChain$okhttp(RealCall.kt:201)

07:34:26.831 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealCall.execute(RealCall.kt:154)

07:34:26.832 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.Download.execute(Download.java:328)

07:34:26.834 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.Download.downloadFile(Download.java:620)

07:34:26.835 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.Download.downloadFile(Download.java:576)

07:34:26.837 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.DownloadPool$Downloader.run(DownloadPool.java:123)

07:34:26.838 [ATL-Logging-Thread] ERROR - 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1144)

07:34:26.839 [ATL-Logging-Thread] ERROR - 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:642)

07:34:26.840 [ATL-Logging-Thread] ERROR - 	at java.base/java.lang.Thread.run(Thread.java:1575)

07:34:26.841 [ATL-Logging-Thread] ERROR - 	Suppressed: java.io.IOException: unexpected end of stream on https://resources.download.minecraft.net/...

07:34:26.842 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http1.Http1ExchangeCodec.readResponseHeaders(Http1ExchangeCodec.kt:210)

07:34:26.844 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.connection.Exchange.readResponseHeaders(Exchange.kt:110)

07:34:26.844 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.CallServerInterceptor.intercept(CallServerInterceptor.kt:93)

07:34:26.846 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.847 [ATL-Logging-Thread] ERROR - 		at com.atlauncher.Network.lambda$createProgressClient$1(Network.java:108)

07:34:26.848 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.849 [ATL-Logging-Thread] ERROR - 		at com.atlauncher.network.ErrorReportingInterceptor.intercept(ErrorReportingInterceptor.java:32)

07:34:26.851 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.852 [ATL-Logging-Thread] ERROR - 		at com.atlauncher.network.UserAgentInterceptor.intercept(UserAgentInterceptor.java:41)

07:34:26.853 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:26.855 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:34)

07:34:26.856 [ATL-Logging-Thread] ERROR - 		... 18 more

07:34:26.857 [ATL-Logging-Thread] ERROR - 	Caused by: java.io.EOFException: \n not found: limit=0 content=…

07:34:26.866 [ATL-Logging-Thread] ERROR - 		at okio.RealBufferedSource.readUtf8LineStrict(RealBufferedSource.kt:332)

07:34:26.869 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http1.HeadersReader.readLine(HeadersReader.kt:29)

07:34:26.871 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http1.Http1ExchangeCodec.readResponseHeaders(Http1ExchangeCodec.kt:180)

07:34:26.872 [ATL-Logging-Thread] ERROR - 		... 28 more

07:34:26.875 [ATL-Logging-Thread] ERROR - java.net.SocketException: Network is unreachable: getsockopt
	at java.base/sun.nio.ch.Net.pollConnect(Native Method)
	at java.base/sun.nio.ch.Net.pollConnectNow(Net.java:682)
	at java.base/sun.nio.ch.NioSocketImpl.timedFinishConnect(NioSocketImpl.java:542)
	at java.base/sun.nio.ch.NioSocketImpl.connect(NioSocketImpl.java:592)
	at java.base/java.net.SocksSocketImpl.connect(SocksSocketImpl.java:327)
	at java.base/java.net.Socket.connect(Socket.java:760)
	at okhttp3.internal.platform.Platform.connectSocket(Platform.kt:128)
	at okhttp3.internal.connection.RealConnection.connectSocket(RealConnection.kt:295)
	at okhttp3.internal.connection.RealConnection.connect(RealConnection.kt:207)
	at okhttp3.internal.connection.ExchangeFinder.findConnection(ExchangeFinder.kt:226)
	at okhttp3.internal.connection.ExchangeFinder.findHealthyConnection(ExchangeFinder.kt:106)
	at okhttp3.internal.connection.ExchangeFinder.find(ExchangeFinder.kt:74)
	at okhttp3.internal.connection.RealCall.initExchange$okhttp(RealCall.kt:255)
	at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:32)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at okhttp3.internal.cache.CacheInterceptor.intercept(CacheInterceptor.kt:95)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at okhttp3.internal.http.BridgeInterceptor.intercept(BridgeInterceptor.kt:83)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at okhttp3.internal.http.RetryAndFollowUpInterceptor.intercept(RetryAndFollowUpInterceptor.kt:76)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at com.atlauncher.network.DebugLoggingInterceptor.intercept(DebugLoggingInterceptor.java:46)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at okhttp3.internal.connection.RealCall.getResponseWithInterceptorChain$okhttp(RealCall.kt:201)
	at okhttp3.internal.connection.RealCall.execute(RealCall.kt:154)
	at com.atlauncher.network.Download.execute(Download.java:328)
	at com.atlauncher.network.Download.downloadFile(Download.java:620)
	at com.atlauncher.network.Download.downloadFile(Download.java:576)
	at com.atlauncher.network.DownloadPool$Downloader.run(DownloadPool.java:123)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1144)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:642)
	at java.base/java.lang.Thread.run(Thread.java:1575)
	Suppressed: java.io.IOException: unexpected end of stream on https://resources.download.minecraft.net/...
		at okhttp3.internal.http1.Http1ExchangeCodec.readResponseHeaders(Http1ExchangeCodec.kt:210)
		at okhttp3.internal.connection.Exchange.readResponseHeaders(Exchange.kt:110)
		at okhttp3.internal.http.CallServerInterceptor.intercept(CallServerInterceptor.kt:93)
		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
		at com.atlauncher.Network.lambda$createProgressClient$1(Network.java:108)
		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
		at com.atlauncher.network.ErrorReportingInterceptor.intercept(ErrorReportingInterceptor.java:32)
		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
		at com.atlauncher.network.UserAgentInterceptor.intercept(UserAgentInterceptor.java:41)
		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
		at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:34)
		... 18 more
	Caused by: java.io.EOFException: \n not found: limit=0 content=…
		at okio.RealBufferedSource.readUtf8LineStrict(RealBufferedSource.kt:332)
		at okhttp3.internal.http1.HeadersReader.readLine(HeadersReader.kt:29)
		at okhttp3.internal.http1.Http1ExchangeCodec.readResponseHeaders(Http1ExchangeCodec.kt:180)
		... 28 more

07:34:36.266 [ATL-Logging-Thread] ERROR - Error trying to download 7f7777e5d5b163c5d64201fd53e5682599548a49

07:34:36.267 [ATL-Logging-Thread] ERROR - java.net.SocketException: Network is unreachable: getsockopt

07:34:36.268 [ATL-Logging-Thread] ERROR - 	at java.base/sun.nio.ch.Net.pollConnect(Native Method)

07:34:36.269 [ATL-Logging-Thread] ERROR - 	at java.base/sun.nio.ch.Net.pollConnectNow(Net.java:682)

07:34:36.270 [ATL-Logging-Thread] ERROR - 	at java.base/sun.nio.ch.NioSocketImpl.timedFinishConnect(NioSocketImpl.java:542)

07:34:36.270 [ATL-Logging-Thread] ERROR - 	at java.base/sun.nio.ch.NioSocketImpl.connect(NioSocketImpl.java:592)

07:34:36.271 [ATL-Logging-Thread] ERROR - 	at java.base/java.net.SocksSocketImpl.connect(SocksSocketImpl.java:327)

07:34:36.273 [ATL-Logging-Thread] ERROR - 	at java.base/java.net.Socket.connect(Socket.java:760)

07:34:36.274 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.platform.Platform.connectSocket(Platform.kt:128)

07:34:36.275 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealConnection.connectSocket(RealConnection.kt:295)

07:34:36.276 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealConnection.connect(RealConnection.kt:207)

07:34:36.277 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.ExchangeFinder.findConnection(ExchangeFinder.kt:226)

07:34:36.278 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.ExchangeFinder.findHealthyConnection(ExchangeFinder.kt:106)

07:34:36.278 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.ExchangeFinder.find(ExchangeFinder.kt:74)

07:34:36.279 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealCall.initExchange$okhttp(RealCall.kt:255)

07:34:36.280 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:32)

07:34:36.280 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.282 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.cache.CacheInterceptor.intercept(CacheInterceptor.kt:95)

07:34:36.283 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.284 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.BridgeInterceptor.intercept(BridgeInterceptor.kt:83)

07:34:36.284 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.285 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RetryAndFollowUpInterceptor.intercept(RetryAndFollowUpInterceptor.kt:76)

07:34:36.286 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.286 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.DebugLoggingInterceptor.intercept(DebugLoggingInterceptor.java:46)

07:34:36.287 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.288 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealCall.getResponseWithInterceptorChain$okhttp(RealCall.kt:201)

07:34:36.289 [ATL-Logging-Thread] ERROR - 	at okhttp3.internal.connection.RealCall.execute(RealCall.kt:154)

07:34:36.290 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.Download.execute(Download.java:328)

07:34:36.290 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.Download.downloadFile(Download.java:620)

07:34:36.291 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.Download.downloadFile(Download.java:576)

07:34:36.292 [ATL-Logging-Thread] ERROR - 	at com.atlauncher.network.DownloadPool$Downloader.run(DownloadPool.java:123)

07:34:36.292 [ATL-Logging-Thread] ERROR - 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1144)

07:34:36.293 [ATL-Logging-Thread] ERROR - 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:642)

07:34:36.295 [ATL-Logging-Thread] ERROR - 	at java.base/java.lang.Thread.run(Thread.java:1575)

07:34:36.295 [ATL-Logging-Thread] ERROR - 	Suppressed: java.io.IOException: unexpected end of stream on https://resources.download.minecraft.net/...

07:34:36.297 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http1.Http1ExchangeCodec.readResponseHeaders(Http1ExchangeCodec.kt:210)

07:34:36.297 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.connection.Exchange.readResponseHeaders(Exchange.kt:110)

07:34:36.302 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.CallServerInterceptor.intercept(CallServerInterceptor.kt:93)

07:34:36.303 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.303 [ATL-Logging-Thread] ERROR - 		at com.atlauncher.Network.lambda$createProgressClient$1(Network.java:108)

07:34:36.305 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.306 [ATL-Logging-Thread] ERROR - 		at com.atlauncher.network.ErrorReportingInterceptor.intercept(ErrorReportingInterceptor.java:32)

07:34:36.307 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.307 [ATL-Logging-Thread] ERROR - 		at com.atlauncher.network.UserAgentInterceptor.intercept(UserAgentInterceptor.java:41)

07:34:36.310 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)

07:34:36.311 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:34)

07:34:36.311 [ATL-Logging-Thread] ERROR - 		... 18 more

07:34:36.312 [ATL-Logging-Thread] ERROR - 	Caused by: java.io.EOFException: \n not found: limit=0 content=…

07:34:36.314 [ATL-Logging-Thread] ERROR - 		at okio.RealBufferedSource.readUtf8LineStrict(RealBufferedSource.kt:332)

07:34:36.315 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http1.HeadersReader.readLine(HeadersReader.kt:29)

07:34:36.315 [ATL-Logging-Thread] ERROR - 		at okhttp3.internal.http1.Http1ExchangeCodec.readResponseHeaders(Http1ExchangeCodec.kt:180)

07:34:36.317 [ATL-Logging-Thread] ERROR - 		... 28 more

07:34:36.319 [ATL-Logging-Thread] ERROR - java.net.SocketException: Network is unreachable: getsockopt
	at java.base/sun.nio.ch.Net.pollConnect(Native Method)
	at java.base/sun.nio.ch.Net.pollConnectNow(Net.java:682)
	at java.base/sun.nio.ch.NioSocketImpl.timedFinishConnect(NioSocketImpl.java:542)
	at java.base/sun.nio.ch.NioSocketImpl.connect(NioSocketImpl.java:592)
	at java.base/java.net.SocksSocketImpl.connect(SocksSocketImpl.java:327)
	at java.base/java.net.Socket.connect(Socket.java:760)
	at okhttp3.internal.platform.Platform.connectSocket(Platform.kt:128)
	at okhttp3.internal.connection.RealConnection.connectSocket(RealConnection.kt:295)
	at okhttp3.internal.connection.RealConnection.connect(RealConnection.kt:207)
	at okhttp3.internal.connection.ExchangeFinder.findConnection(ExchangeFinder.kt:226)
	at okhttp3.internal.connection.ExchangeFinder.findHealthyConnection(ExchangeFinder.kt:106)
	at okhttp3.internal.connection.ExchangeFinder.find(ExchangeFinder.kt:74)
	at okhttp3.internal.connection.RealCall.initExchange$okhttp(RealCall.kt:255)
	at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:32)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at okhttp3.internal.cache.CacheInterceptor.intercept(CacheInterceptor.kt:95)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at okhttp3.internal.http.BridgeInterceptor.intercept(BridgeInterceptor.kt:83)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at okhttp3.internal.http.RetryAndFollowUpInterceptor.intercept(RetryAndFollowUpInterceptor.kt:76)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at com.atlauncher.network.DebugLoggingInterceptor.intercept(DebugLoggingInterceptor.java:46)
	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
	at okhttp3.internal.connection.RealCall.getResponseWithInterceptorChain$okhttp(RealCall.kt:201)
	at okhttp3.internal.connection.RealCall.execute(RealCall.kt:154)
	at com.atlauncher.network.Download.execute(Download.java:328)
	at com.atlauncher.network.Download.downloadFile(Download.java:620)
	at com.atlauncher.network.Download.downloadFile(Download.java:576)
	at com.atlauncher.network.DownloadPool$Downloader.run(DownloadPool.java:123)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1144)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:642)
	at java.base/java.lang.Thread.run(Thread.java:1575)
	Suppressed: java.io.IOException: unexpected end of stream on https://resources.download.minecraft.net/...
		at okhttp3.internal.http1.Http1ExchangeCodec.readResponseHeaders(Http1ExchangeCodec.kt:210)
		at okhttp3.internal.connection.Exchange.readResponseHeaders(Exchange.kt:110)
		at okhttp3.internal.http.CallServerInterceptor.intercept(CallServerInterceptor.kt:93)
		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
		at com.atlauncher.Network.lambda$createProgressClient$1(Network.java:108)
		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
		at com.atlauncher.network.ErrorReportingInterceptor.intercept(ErrorReportingInterceptor.java:32)
		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
		at com.atlauncher.network.UserAgentInterceptor.intercept(UserAgentInterceptor.java:41)
		at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109)
		at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:34)
		... 18 more
	Caused by: java.io.EOFException: \n not found: limit=0 content=…
		at okio.RealBufferedSource.readUtf8LineStrict(RealBufferedSource.kt:332)
		at okhttp3.internal.http1.HeadersReader.readLine(HeadersReader.kt:29)
		at okhttp3.internal.http1.Http1ExchangeCodec.readResponseHeaders(Http1ExchangeCodec.kt:180)
		... 28 more

07:36:08.253 [ATL-Logging-Thread] INFO  - Started install of Minecraft version 1.21.4

